41.00	6.50	47.50		 104.00	0.00	104.00		 105.00	0.00	105.00		 120.00	0.00	120.00		 42.00	15.27	57.27		 39.00	18.28	57.28		 112.00	0.00	112.00		 47.00	17.50	64.50		 132.00	0.00	132.00		 84.00	0.00	84.00
18.00	29.50	47.50		 67.00	0.00	67.00		 105.00	0.00	105.00		 47.00	10.21	57.21		 129.00	0.00	129.00		 73.00	0.00	73.00		 141.00	0.00	141.00		 29.00	35.50	64.50		 53.00	11.50	64.50		 136.00	0.00	136.00
92.00	0.00	92.00		 77.00	0.00	77.00		 63.00	0.00	63.00		 66.00	0.00	66.00		 43.00	13.77	56.77		 78.00	0.00	78.00		 122.00	0.00	122.00		 97.00	0.00	97.00		 119.00	0.00	119.00		 92.00	0.00	92.00
68.00	0.00	68.00		 41.00	14.86	55.86		 89.00	0.00	89.00		 51.00	5.37	56.37		 122.00	0.00	122.00		 59.00	0.00	59.00		 69.00	0.00	69.00		 76.00	0.00	76.00		 105.00	0.00	105.00		 135.00	0.00	135.00
121.00	0.00	121.00		 31.00	24.85	55.86		 47.00	9.38	56.38		 116.00	0.00	116.00		 124.00	0.00	124.00		 72.00	0.00	72.00		 66.00	0.00	66.00		 127.00	0.00	127.00		 22.00	27.64	49.64		 114.00	0.00	114.00
16.00	40.26	56.26		 139.00	0.00	139.00		 138.00	0.00	138.00		 30.00	25.98	55.98		 111.00	0.00	111.00		 31.00	25.52	56.52		 114.00	0.00	114.00		 34.00	15.75	49.75		 46.00	3.63	49.63		 72.00	0.00	72.00
96.00	0.00	96.00		 121.00	0.00	121.00		 77.00	0.00	77.00		 96.00	0.00	96.00		 30.00	26.52	56.52		 23.00	33.95	56.95		 80.00	0.00	80.00		 104.00	0.00	104.00		 21.00	28.99	49.99		 25.00	24.98	49.98
126.00	0.00	126.00		 90.00	0.00	90.00		 69.00	4.43	73.43		 101.00	0.00	101.00		 133.00	0.00	133.00		 147.00	0.00	147.00		 32.00	24.95	56.95		 125.00	0.00	125.00		 80.00	0.00	80.00		 60.00	0.00	60.00
111.00	0.00	111.00		 77.00	0.00	77.00		 135.00	0.00	135.00		 73.00	0.00	73.00		 66.00	0.00	66.00		 43.00	14.37	57.37		 146.00	0.00	146.00		 71.00	0.00	71.00		 20.00	35.50	55.50		 89.00	0.00	89.00
34.00	34.00	68.00		 61.00	7.00	68.00		 117.00	0.00	117.00		 65.00	1.53	66.54		 72.00	0.00	72.00		 60.00	0.00	60.00		 71.00	0.00	71.00		 43.00	12.50	55.50		 71.00	0.00	71.00		 120.00	0.00	120.00
